VannKraftverkID,Navn,VannKVType,VannKVTypeID,HovedEier,HovedEier_OrgNr,Fylke,FylkesNr,Kommune,KommuneNr,ForsteUtnyttelseAvFalletDato,DatoForEldsteKraftproduserendeDel,MaksYtelse,MidProd_91_20,BruttoFallhoyde_M,Slukeevne,EnEkv,ElspotomraadeNummer,RegineNr,ErIDrift,IDriftDato,Konsesjoner,Kraftverkstatus,NVEOmraadeID,NVEOmraadeNavn,Nedborsfeltnavn,SPPunkt,SPSone,UnderBygging,UteAvDrift,VassdragsOmraadeID,VassdragsOmraadeNavn
626,Angvik,Kraftverk,K,ISTAD KRAFT AS,923253920,Møre og Romsdal,15,Gjemnes,57,1990,1990,1.1,2.872,56.0,2.41,0.127,3,109.1Z,True,1990-01-01T00:00:00,"[{'KdbID': 648, 'Tittel': 'Ombygging av Angvik kraftstasjon'}, {'KdbID': 959, 'Tittel': 'Ombygging av Angvik kraftstasjon - Ekspropr. av kr.st.tomt og fall'}]",Idrift,,,Angvikelva,01,447,False,,8,NVE - område: 8
5,Ardalen,Kraftverk,K,SMÅKRAFT AS,984616155,Vestland,46,Vaksdal,28,1954,1954,2.5,11.13,120.0,2.29,0.289,5,061.4B0,True,1954-01-01T00:00:00,"[{'KdbID': 1996, 'Tittel': 'Ardalen kraftverk, nytt aggregat'}]",Idrift,,,Vaksdalsvassdraget,02,251,False,,6,NVE - område: 6
6,Arna,Kraftverk,K,ARNA KRAFTSELSKAP AS,910267299,Vestland,46,Bergen,01,1934,2018,0.8,2.834,61.0,1.6,0.139,5,061.1A,True,2018-08-27T00:00:00,[],Idrift,,,Ytre arnaelva,01,248,False,,6,NVE - område: 6
817,Arneselv,Kraftverk,K,BALLANGEN UTVIKLING AS,923093508,Nordland,18,Narvik,06,2004,2004,2.4,8.296,412.8,0.7,0.952,4,173.2Z,True,2004-09-08T00:00:00,"[{'KdbID': 3759, 'Tittel': 'Kraftverk i Arneselva'}]",Idrift,,,Åga,,999,False,,11,NVE - område: 11
1160,Arstadfossen,Kraftverk,K,ARSTADFOSSEN KRAFTVERK AS,984735545,Nordland,18,Beiarn,39,2003,2003,1.0,3.565,24.0,5.0,0.056,4,161.AA32,True,2003-12-01T00:00:00,"[{'KdbID': 2930, 'Tittel': 'Minikraftverk i Arstadfossen'}]",Idrift,,,Beiarelva,21,634,False,,10,NVE - område: 10
1413,Ask Kraft,Kraftverk,K,ASK Opstvedt,866927472,Rogaland,11,Vindafjord,60,2007,2007,0.195,0.477,140.0,0.24,,2,041.33A,True,2007-08-10T00:00:00,"[{'KdbID': 4699, 'Tittel': 'ASK Kraft minikraftverk'}]",Idrift,,,Gjerdesvikbekken,,999,False,,5,NVE - område: 5
7,Askerudfoss,Kraftverk,K,VIUL KRAFT AS,961113539,Buskerud,33,Ringerike,05,1946,1946,13.2,76.759,20.6,76.38,0.048,1,012.EA6,True,1946-07-01T00:00:00,"[{'KdbID': 14, 'Tittel': 'Erverv av ytterligere fall i Randselva'}, {'KdbID': 75, 'Tittel': 'Erverv av deler av Askerudfoss i Randselv.'}, {'KdbID': 246, 'Tittel': 'Innløsn. og ytt. erverv av fallrettigheter i Randselva'}, {'KdbID': 1113, 'Tittel': 'Erverv av ytt. fall i Randselva  - Endring av vilkår'}, {'KdbID': 1789, 'Tittel': 'Erverv av fallrettigheter i Viulfoss, Kistefoss, Askerudfoss, Bergerfoss'}]",Idrift,,,Drammensvassdraget,08,043,False,,1,NVE - område: 1
986,Aspenes,Kraftverk,K,ASPENES MIKROKRAFT J.M. Aspenes,988625035,Vestland,46,Bjørnafjorden,24,2005,2005,0.055,0.09,,,,5,055.60,True,2005-01-01T00:00:00,[],Idrift,,,KYSTFELT,,999,False,,6,NVE - område: 6
1289,Aunbekken,Kraftverk,K,INGE KVAAL,988709220,Trøndelag,50,Stjørdal,35,2002,2002,0.018,0.083,,,,3,124.C4,True,2002-01-01T00:00:00,"[{'KdbID': 2517, 'Tittel': 'Mikrokraftverk i Aunbekken'}]",Idrift,,,Stjørdalsvassdraget,,999,False,,9,NVE - område: 9
8,Aunfoss,Kraftverk,K,NTE ENERGI AS,988340715,Trøndelag,50,Grong,45,1959,1959,29.54,194.698,28.5,129.92,0.061,3,139.D2,True,1959-06-05T00:00:00,"[{'KdbID': 1939, 'Tittel': 'Ekspropriasjon av Aunefossene m.v. i Namsen.'}, {'KdbID': 3652, 'Tittel': 'Aunfoss kraftverk, stabili.og erosj.sikr'}]",Idrift,,,Namsen,26,579,False,,9,NVE - område: 9
9,Aura,Kraftverk,K,STATKRAFT ENERGI AS,987059729,Møre og Romsdal,15,Sunndal,63,1955,1955,290.0,1754.149,783.0,46.0,1.751,3,109.5A1,True,1955-06-24T00:00:00,"[{'KdbID': 831, 'Tittel': 'Statsregulering av Aura og Lilledalsvassdraget m.v.'}, {'KdbID': 1645, 'Tittel': 'Erv. og reg. av Aura, Mardøla, Lilledalsvassdraget.'}, {'KdbID': 1927, 'Tittel': 'Manøvreringsreglement for statsreg. av Aura - Lilledalsvassdraget.'}]",Idrift,,,Litledalselva,01,448,False,,8,NVE - område: 8
1019,Aurdal,Kraftverk,K,,,Rogaland,11,Vindafjord,60,2002,2002,0.02,0.033,40.0,,,2,038.5C,True,2002-01-01T00:00:00,[],Idrift,,,Åmselva,,999,False,,5,NVE - område: 5
10,Aurland 1,Kraftverk,K,HAFSLUND KRAFT AS,976894677,Vestland,46,Aurland,41,1973,1973,840.0,2099.408,850.0,112.5,2.074,5,072.B1A,True,1973-01-11T00:00:00,"[{'KdbID': 251, 'Tittel': 'Reguleringer og overføringer i Aurlandsvassdraget'}, {'KdbID': 3757, 'Tittel': 'Oppgradering av Aurland I kraftstasjon'}]",Idrift,,,Aurlandsvassdraget,02,293,False,,2,NVE - område: 2
11,Aurland 2 H,Kraftverk,K,HAFSLUND KRAFT AS,976894677,Vestland,46,Aurland,41,1983,1983,70.0,221.387,500.0,16.1,1.207,5,072.CB2,True,1983-01-19T00:00:00,"[{'KdbID': 251, 'Tittel': 'Reguleringer og overføringer i Aurlandsvassdraget'}]",Idrift,,,Aurlandsvassdraget,11,293,False,,2,NVE - område: 2
12,Aurland 2 L,Kraftverk,K,HAFSLUND KRAFT AS,976894677,Vestland,46,Aurland,41,1982,1982,60.0,176.033,109.0,61.95,0.268,5,072.CB2,True,1982-10-05T00:00:00,"[{'KdbID': 251, 'Tittel': 'Reguleringer og overføringer i Aurlandsvassdraget'}]",Idrift,,,Aurlandsvassdraget,21,293,False,,2,NVE - område: 2
13,Aurland 3,Pumpekraftverk,PK,HAFSLUND KRAFT AS,976894677,Vestland,46,Aurland,41,1979,1979,270.0,94.476,400.0,79.95,0.938,5,072.G,True,1979-07-30T00:00:00,"[{'KdbID': 251, 'Tittel': 'Reguleringer og overføringer i Aurlandsvassdraget'}]",Idrift,,,Aurlandsvassdraget,26,293,False,,2,NVE - område: 2
489,Aurland 4 (Vangen),Kraftverk,K,HAFSLUND KRAFT AS,976894677,Vestland,46,Aurland,41,1980,1980,38.0,102.03,55.0,90.0,0.117,5,072.A1,True,1980-09-25T00:00:00,"[{'KdbID': 251, 'Tittel': 'Reguleringer og overføringer i Aurlandsvassdraget'}, {'KdbID': 464, 'Tittel': 'Utbygging av Aurlandsvassdraget - Planendringer m.v.'}, {'KdbID': 3150, 'Tittel': 'Oppgradering av turbin i Vangen kr.st. i Aurlandsvassdraget'}]",Idrift,,,Aurlandsvassdraget,01,293,False,,2,NVE - område: 2
338,Aurland 5 (Reppa),Kraftverk,K,HAFSLUND KRAFT AS,976894677,Vestland,46,Aurland,41,1984,1984,9.0,27.804,395.0,2.59,0.965,5,072.CAA,True,1984-02-14T00:00:00,"[{'KdbID': 251, 'Tittel': 'Reguleringer og overføringer i Aurlandsvassdraget'}, {'KdbID': 9046, 'Tittel': 'Midlertidig fravik fra manøvreringsreglementet - Aurland V (Reppa)\xa0kraftverk\xa0-\xa0HAFSLUND ECO VANNKRAFT AS - Tapping under LRV ;  - 15.07.2023 til 17.09.2023- Referansenr:GQTNRH'}]",Idrift,,,Aurlandsvassdraget,03,293,False,,2,NVE - område: 2
2056,Austad,Kraftverk,K,AUSTAD KRAFTVERK AS,923672443,Agder,42,Bygland,20,2021,2021,1.5,5.02,200.0,0.86,0.468,2,021.E11A3,True,2021-10-15T00:00:00,"[{'KdbID': 8006, 'Tittel': 'Austad kraftverk'}]",Idrift,,,Otra,,115,False,,4,NVE - område: 4
793,Austdøla,Kraftverk,K,AUSTDØLA KRAFT AS,985369534,Vestland,46,Ullensvang,18,2004,2004,1.3,9.81,147.0,1.1,0.328,2,048.DA,True,2004-01-09T00:00:00,"[{'KdbID': 1899, 'Tittel': 'Erverv av vannfallrettigheter i Odda og Låtefossvassdraget.'}, {'KdbID': 3294, 'Tittel': 'Austdøla kraftverk'}]",Idrift,,,Opo,01,213,False,,3,NVE - område: 3
1162,Austvass,Kraftverk,K,AUSTVASSKRAFT AS,983640001,Innlandet,34,Nord-Odal,14,2002,2002,0.12,0.103,,,,1,002.EB1A,True,2002-01-01T00:00:00,[],Idrift,,,Glommavassdraget,,004,False,,1,NVE - område: 1
1839,Baggfossen,Kraftverk,K,BENCHMARK GENETICS SALTEN AS,916000030,Nordland,18,Sørfold,45,2015,2015,0.132,0.401,24.0,0.81,0.046,4,167.2A,True,2015-12-17T00:00:00,"[{'KdbID': 5642, 'Tittel': 'Baggfossen minikraftverk'}]",Idrift,,,Sørfjordelva,,661,False,,10,NVE - område: 10
15,Bagn,Kraftverk,K,SKAGERAK KRAFT AS,979563531,Innlandet,34,Sør-Aurdal,49,1963,1963,75.5,344.41,87.0,99.7,0.21,1,012.J1,True,1963-01-12T00:00:00,"[{'KdbID': 170, 'Tittel': 'Reg. av Aurdalsfjord i Begna'}, {'KdbID': 6275, 'Tittel': 'Bagn kraftverk utvidelse av slukeevne'}, {'KdbID': 6304, 'Tittel': 'Revisjon av konsesjonsvilkår for reguleringen av Aurdalsfjord'}]",Idrift,,,Drammensvassdraget,34,043,False,,1,NVE - område: 1
1993,Bakkeelva,Kraftverk,K,TROLLEKRAFT AS,920387896,Vestland,46,Askvoll,45,2019,2019,2.5,8.006,222.0,1.4,0.496,3,083.42A,True,2019-11-29T00:00:00,"[{'KdbID': 6198, 'Tittel': 'Bakkeelva kraftverk'}]",Idrift,,,Bakkelva,,999,False,,13,NVE - område: 13
941,Bakkefossen,Kraftverk,K,NILS ANDERS GJERLAND,891308272,Vestland,46,Sunnfjord,47,1994,1994,0.0738,0.646,,,,3,083.EA0,True,1994-01-01T00:00:00,[],Idrift,,,Gaularvassdraget,,337,False,,13,NVE - område: 13
16,Bardufoss,Kraftverk,K,STATKRAFT ENERGI AS,987059729,Troms,55,Målselv,24,1953,1953,43.0,242.4,53.0,84.5,0.141,4,196.AA3,True,1953-10-01T00:00:00,"[{'KdbID': 871, 'Tittel': 'Statsreg. av Altevatn og overf. av Salvasskarelv til Altevatn'}, {'KdbID': 872, 'Tittel': 'Overf. av Mouldajokka og Irggasjaurie til Altevatn'}, {'KdbID': 873, 'Tittel': 'Innføring av Straumsli-Tverrelv på dr.tunnel for Straumsmo kr.v.'}, {'KdbID': 8013, 'Tittel': 'Bardufoss kraftverk'}]",Idrift,,,Målselvvassdraget,02,791,False,,11,NVE - område: 11
17,Bedafors,Kraftverk,K,HAFSLUND KRAFT AS,976894677,Innlandet,34,Kongsvinger,01,1985,1985,1.0,3.343,19.29,5.44,0.05,1,313.A1F2,True,1985-12-01T00:00:00,"[{'KdbID': 705, 'Tittel': 'Varalden og Bedafors kraftverker'}]",Idrift,,,Byälven-mangenvassdraget,02,985,False,,1,NVE - område: 1
792,Befring,Kraftverk,K,BEFRING KRAFT AS,984512481,Vestland,46,Sunnfjord,47,2003,2003,4.5,20.693,281.0,1.9,0.658,3,087.E,True,2003-04-07T00:00:00,"[{'KdbID': 2999, 'Tittel': 'Befring kraftverk'}, {'KdbID': 3667, 'Tittel': 'Planendring Befring kraftverk'}]",Idrift,,,Breimsvassdraget,04,369,False,,13,NVE - område: 13
18,Begna,Kraftverk,K,Å ENERGI VANNKRAFT AS,882973972,Buskerud,33,Ringerike,05,1954,1954,5.6,36.546,8.0,81.87,0.018,1,012.F23,True,1954-08-01T00:00:00,[],Idrift,,,Drammensvassdraget,27,043,False,,1,NVE - område: 1
1678,Bele,Kraftverk,K,BELE KRAFT AS,995357895,Møre og Romsdal,15,Surnadal,66,2013,2013,2.9,7.729,379.0,0.94,0.857,3,112.4Z,True,2013-01-19T00:00:00,"[{'KdbID': 4854, 'Tittel': 'Bele Kraftverk'}]",Idrift,,,Beleelva,,999,False,,8,NVE - område: 8
910,Bele mikrokraftverk,Kraftverk,K,BELE KRAFTVERK DA,989814702,Møre og Romsdal,15,Surnadal,66,2007,2007,0.082,0.32,91.0,0.2,,3,112.4Z,True,2007-01-01T00:00:00,[],Idrift,,,Beleelva,,999,False,,8,NVE - område: 8
1665,Bentsjord,Kraftverk,K,CADRE ELVEKRAFT AS,929375769,Troms,55,Storfjord,38,2012,2012,2.66,4.669,419.0,0.727,1.016,4,204.92B,True,2012-06-22T00:00:00,"[{'KdbID': 5295, 'Tittel': 'Bentsjord kraftverk'}]",Idrift,,,Bentsjordelva,01,829,False,,11,NVE - område: 11
991,Berdal,Kraftverk,K,BERDAL OG MØLLSLETT KRAFTLAG AS,976013875,Trøndelag,50,Åfjord,58,1996,1996,0.2,0.427,,,,3,135.AAA,True,1996-01-01T00:00:00,[],Idrift,,,Stordalselva,,999,False,,9,NVE - område: 9
1559,Berdalselva,Kraftverk,K,BERDALSKRAFT AS,990991251,Møre og Romsdal,15,Rauma,39,2011,2011,4.35,15.479,304.3,1.7,0.711,3,103.2A,True,2011-03-07T00:00:00,"[{'KdbID': 4474, 'Tittel': 'Berdalselva kraftverk'}]",Idrift,,,Innfjordselva,02,431,False,,8,NVE - område: 8
1300,Bergbekken,Kraftverk,K,,,Møre og Romsdal,15,Molde,06,1998,1998,0.0014,0.003,18.0,0.024,0.016,3,105.4B,True,1998-01-01T00:00:00,"[{'KdbID': 2724, 'Tittel': 'Bergbekken mikrokraftverk'}]",Idrift,,,Oppdølselva,,999,False,,8,NVE - område: 8
1914,Berge,Kraftverk,K,FJÆRLAND KRAFT AS,916498721,Vestland,46,Sogndal,40,2018,2018,7.96,16.518,425.0,2.4,0.921,5,078.21Z,True,2018-03-06T00:00:00,"[{'KdbID': 5898, 'Tittel': 'Berge kraftverk'}, {'KdbID': 7646, 'Tittel': 'Berge kraftverk - Planendring'}]",Idrift,,,Bjåstadelvi,01,316,False,,7,NVE - område: 7
1363,Bergelva,Kraftverk,K,BERGELVA KRAFT AS,989930583,Møre og Romsdal,15,Haram,80,2008,2008,0.3,0.639,,,,3,102.2Z,True,2008-05-09T00:00:00,"[{'KdbID': 4062, 'Tittel': 'Bergelva minikraftverk'}]",Idrift,,,Storelva,,999,False,,8,NVE - område: 8
19,Bergerfoss,Kraftverk,K,AS RANDSFJORD TREMASSE- & PAPIRFABRIKK,915297331,Akershus,32,Jevnaker,36,1938,1938,3.3,15.116,5.4,70.51,0.013,1,012.EA72,True,1938-01-01T00:00:00,"[{'KdbID': 807, 'Tittel': 'Regulering av Randsfjord'}, {'KdbID': 1623, 'Tittel': 'Fornyelse av konsesjon på reg. av Randsfjorden.'}, {'KdbID': 1789, 'Tittel': 'Erverv av fallrettigheter i Viulfoss, Kistefoss, Askerudfoss, Bergerfoss'}, {'KdbID': 4058, 'Tittel': 'Endelig fastsettelse av manøvreringsreglement for Randsfjorden'}]",Idrift,,,Drammensvassdraget,11,043,False,,1,NVE - område: 1
1513,Bergesli,Kraftverk,K,BERGESLI KRAFTVERK AS,990917779,Agder,42,Kvinesdal,27,2008,2008,0.78,2.07,,,,2,025.B3Z,True,2008-07-02T00:00:00,"[{'KdbID': 3969, 'Tittel': 'Bergesli kraftverk'}]",Idrift,,,Kvina,,127,False,,4,NVE - område: 4
2082,Bergesåi,Kraftverk,K,CHR SALVESEN & CHR THAMS'S COMMUNICATIONS AKTIESELSKAB,915640850,Telemark ,40,Fyresdal,32,2022,2022,3.5,10.541,232.5,1.9,0.512,2,019.H2B,True,2022-10-18T00:00:00,"[{'KdbID': 7318, 'Tittel': 'Bergesåi kraftverk'}]",Idrift,,,Arendalsvassdraget,,105,False,,3,NVE - område: 3
20,Bergsbotn,Kraftverk,K,TROMS KRAFT PRODUKSJON AS,979152116,Troms,55,Senja,30,1985,1985,7.9,28.217,354.1,2.59,0.843,4,195.6A0,True,1985-01-01T00:00:00,"[{'KdbID': 125, 'Tittel': 'Reg., erverv m.v. for bygging av Bergsbotn kr.v. i Fosselvvassdr.'}]",Idrift,,,Forselva,01,767,False,,11,NVE - område: 11
1732,Bergselva,Kraftverk,K,NORDIC POWER AS,914341183,Troms,55,Storfjord,38,2013,2013,5.4,10.616,394.0,1.6,0.938,4,204.82,True,2013-09-18T00:00:00,"[{'KdbID': 5025, 'Tittel': 'Bergselva kraftverk'}]",Idrift,,,KYSTFELT,,999,False,,11,NVE - område: 11
2026,Bergselvi,Kraftverk,K,BERGSELVI KRAFTVERK AS,991936491,Vestland,46,Luster,44,2021,2021,8.91,23.148,491.0,2.2,1.125,5,075.BA0,True,2021-10-26T00:00:00,"[{'KdbID': 7515, 'Tittel': 'Bergselvi kraftverk'}]",Idrift,,,Fortunvassdraget,10,307,False,,7,NVE - område: 7
1207,Bergsfjord,Kraftverk,K,YMBER PRODUKSJON AS,913680294,Finnmark,56,Loppa,14,1959,2006,1.1,2.933,83.7,1.5,0.187,4,211.34A,True,2006-12-14T00:00:00,"[{'KdbID': 6091, 'Tittel': 'Bergsfjord kraftverk'}]",Idrift,,,Bergsfjordelva,,999,False,,12,NVE - område: 12
1447,Bergstø,Kraftverk,K,SMÅKRAFT AS,984616155,Vestland,46,Etne,11,2009,2009,2.9,7.982,240.0,1.33,0.605,2,042.3Z,True,2009-12-04T00:00:00,"[{'KdbID': 4390, 'Tittel': 'Bergstø kraftverk'}]",Idrift,,,Dalelva,10,188,False,,5,NVE - område: 5
765,Berild,Kraftverk,K,RAUMA ENERGI PRODUKSJON AS,970974253,Møre og Romsdal,15,Rauma,39,1999,1999,15.9,45.694,275.0,6.6,0.669,3,103.2Z,True,1999-09-27T00:00:00,"[{'KdbID': 40, 'Tittel': 'Regulering av Berildvatn i Innfjordelv m.v.'}, {'KdbID': 2282, 'Tittel': 'Nytt Berild kraftverk'}, {'KdbID': 6181, 'Tittel': 'Utvidelse av Berild Kraftverk'}]",Idrift,,,Innfjordselva,01,431,False,,8,NVE - område: 8
21,Berlifoss,Kraftverk,K,Å ENERGI VANNKRAFT AS,882973972,Telemark ,40,Nissedal,30,1958,1958,9.5,56.327,29.0,39.97,0.065,2,019.DA1,True,1958-01-01T00:00:00,[],Idrift,,,Arendalsvassdraget,31,105,False,,3,NVE - område: 3
1006,Bessa Minikraftverk,Kraftverk,K,,,Innlandet,34,Vågå,35,1999,1999,0.098,0.216,,,,3,002.DGF51,True,1999-01-01T00:00:00,"[{'KdbID': 4208, 'Tittel': 'Utvidelse av Bessa minikraftverk'}]",Idrift,,,Glommavassdraget,,004,False,,8,NVE - område: 8
1802,Bestul,Pumpe,P,LØVENSKIOLD-FOSSUM KRAFT AS,994200682,Telemark ,40,Skien,03,2015,2015,-0.71,-2.821,,1.5,-0.131,2,016.ADAC,True,2015-02-02T00:00:00,"[{'KdbID': 4288, 'Tittel': 'Fjellet kraftverk, Godal kraftverk med reg. og overføring'}]",Idrift,,,Skiensvassdraget,09,078,False,,3,NVE - område: 3
22,Bingsfoss,Kraftverk,K,GLOMMA KRAFTPRODUKSJON AS,987287608,Akershus,32,Lillestrøm,05,1977,1977,32.5,165.063,5.0,820.0,0.011,1,002.D4,True,1977-06-15T00:00:00,"[{'KdbID': 331, 'Tittel': 'Ekspropr. m.v. for utbygging av Bingsfoss i Glomma'}, {'KdbID': 8788, 'Tittel': 'Midlertidig senking av overvann ved Bingsfoss under LRV - 2.-5. april 2022 - Referansenr:RJFCGR'}]",Idrift,,,Glommavassdraget,21,004,False,,1,NVE - område: 1
1917,Birkedal,Kraftverk,K,BØSTRAND AUTOMASKIN,892540322,Møre og Romsdal,15,Vanylven,11,2017,2017,0.055,0.101,93.0,0.079,0.193,3,092.A,True,2017-12-20T00:00:00,"[{'KdbID': 6740, 'Tittel': 'Birkedal kraftverk'}]",Idrift,,,Gusdalelva,,999,False,,13,NVE - område: 13
983,Birkås,Kraftverk,K,SMÅKRAFT AS,984616155,Vestland,46,Høyanger,38,2006,2006,0.71,1.779,,,,3,080.22D,True,2006-08-24T00:00:00,"[{'KdbID': 3076, 'Tittel': 'Sagelva minikraftverk'}]",Idrift,,,Dyrneslielva,,330,False,,13,NVE - område: 13
994,Biskopstien,Kraftverk,K,,,Rogaland,11,Lund,12,1999,1999,0.04,0.216,150.0,0.035,0.317,2,026.BBA1,True,1999-01-01T00:00:00,"[{'KdbID': 2562, 'Tittel': 'Biskopstien kraftverk'}]",Idrift,,,Sira,,132,False,,4,NVE - område: 4
23,Bjelland,Kraftverk,K,Å ENERGI VANNKRAFT AS,882973972,Agder,42,Lindesnes,05,1974,1974,55.0,335.764,84.3,80.18,0.194,2,022.C4,True,1974-01-01T00:00:00,"[{'KdbID': 112, 'Tittel': 'Utbygging av Bjelland kraftverk - Endring av vilkår, fløtningsvann'}, {'KdbID': 416, 'Tittel': 'Ekspropr. m.v. for bygging av Bjelland Kraftverk'}, {'KdbID': 6245, 'Tittel': 'Opprusting aggregat 2 Bjelland'}]",Idrift,,,Mandalselva,12,119,False,,4,NVE - område: 4
1626,Bjelland II,Kraftverk,K,BJELLAND & MUSLAND KRAFT AS,892065152,Rogaland,11,Tysvær,46,2011,2011,0.71,2.911,165.0,0.61,0.323,2,039.12,True,2011-11-02T00:00:00,"[{'KdbID': 4974, 'Tittel': 'Minikraftverk i Bjellandselva'}]",Idrift,,,KYSTFELT,,999,False,,5,NVE - område: 5
1011,Bjergaelva,Kraftverk,K,BJERGAELVA KRAFT AS,880419552,Rogaland,11,Suldal,34,2004,2004,0.65,1.715,,,,2,036.32,True,2004-01-01T00:00:00,"[{'KdbID': 3164, 'Tittel': 'Mikrokraftverk - Bjergelva'}]",Idrift,,,KYSTFELT,,999,False,,3,NVE - område: 3
24,Bjerka,Kraftverk,K,STATKRAFT ENERGI AS,987059729,Nordland,18,Hemnes,32,1972,1972,20.0,141.566,357.0,6.59,0.842,4,155.AC0,True,1972-01-01T00:00:00,"[{'KdbID': 51, 'Tittel': 'Ytterligere regulering av Bjerka-Plura m.v. (Bjerka kraftverk)'}, {'KdbID': 1948, 'Tittel': 'Ekspropriasjon av grunn og rettigh. for utb. av Bjerka krv.'}, {'KdbID': 1949, 'Tittel': 'Endr. av manøvreringsreglement for Bjerka - Plura utb.'}]",Idrift,,,Røssåga,01,649,False,,10,NVE - område: 10
